CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;1;579
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;11
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;203
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;79
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;38
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;30
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;196
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;75
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;351
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;38
52129;INGENIERIA ELECTRÓNICA;2022;1;8
52130;INGENIERIA ELECTROMECÁNICA;2022;1;28
52131;INGENIERIA DE PRODUCCIÓN;2022;1;63
52205;INGENIERIA DE SISTEMAS;2022;1;64
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;15
53340;INGENIERÍA BIOMÉDICA;2022;1;91
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;67
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;262
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;46
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;10
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;25
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;66
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;286
90355;ARTES VISUALES;2022;1;37
90442;INGENIERÍA MECATRÓNICA;2022;1;302
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;5
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;19
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;116
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;2
104332;QUÍMICA INDUSTRIAL;2022;1;69
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;39
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;13
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;5
105852;CONTADURÍA PÚBLICA;2022;1;220
106188;INGENIERÍA DE LA CALIDAD;2022;1;88
106314;CINE;2022;1;31
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;8
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;161
106973;DOCTORADO EN INGENIERÍA;2022;1;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;151
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;159
107390;INGENIERIA FINANCIERA;2022;1;125
107391;CIENCIAS AMBIENTALES;2022;1;64
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;98
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;532
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;6
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;216
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;91
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;76
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;46
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;60
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;30
55072;ADMINISTRACION TECNOLOGICA;2023;1;27
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;130
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;19
90355;ARTES VISUALES;2023;1;20
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;1;31
53800;TECNOLOGIA EN CALIDAD;2023;1;3
107391;CIENCIAS AMBIENTALES;2023;1;8
106314;CINE;2023;1;18
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;25
105852;CONTADURIA PUBLICA;2023;1;123
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;1;35
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;1;13
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;1;193
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;1;21
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;1;25
106973;DOCTORADO EN INGENIERIA;2023;1;1
11085;TECNOLOGIA EN ELECTRONICA;2023;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;1;204
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;1;38
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;1;11
53340;INGENIERIA BIOMEDICA;2023;1;63
106188;INGENIERIA DE LA CALIDAD;2023;1;42
52131;INGENIERIA DE PRODUCCION;2023;1;54
52205;INGENIERIA DE SISTEMAS;2023;1;65
52299;INGENIERIA DE TELECOMUNICACIONES;2023;1;22
52130;INGENIERIA ELECTROMECANICA;2023;1;41
52129;INGENIERIA ELECTRONICA;2023;1;28
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;1;41
107390;INGENIERIA FINANCIERA;2023;1;107
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;1;1
90442;INGENIERIA MECATRONICA;2023;1;56
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;1;2
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;1;2
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;1;2
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;19
6536;TECNOLOGIA EN PRODUCCION;2023;1;1
104332;QUIMICA INDUSTRIAL;2023;1;33
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;1;29
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;1;43
55072;ADMINISTRACION TECNOLOGICA;2024;1;48
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;143
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;22
90355;ARTES VISUALES;2024;1;14
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2024;1;26
53800;TECNOLOGIA EN CALIDAD;2024;1;4
107391;CIENCIAS AMBIENTALES;2024;1;11
106314;CINE;2024;1;18
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;24
105852;CONTADURIA PUBLICA;2024;1;106
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2024;1;19
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2024;1;13
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2024;1;170
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2024;1;28
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2024;1;18
106973;DOCTORADO EN INGENIERIA;2024;1;2
11085;TECNOLOGIA EN ELECTRONICA;2024;1;1
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2024;1;7
55018;ESPECIALIZACION EN FINANZAS;2024;1;4
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;3
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;3
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2024;1;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2024;1;226
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2024;1;23
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2024;1;21
53340;INGENIERIA BIOMEDICA;2024;1;41
106188;INGENIERIA DE LA CALIDAD;2024;1;36
52131;INGENIERIA DE PRODUCCION;2024;1;30
52205;INGENIERIA DE SISTEMAS;2024;1;61
52299;INGENIERIA DE TELECOMUNICACIONES;2024;1;13
52130;INGENIERIA ELECTROMECANICA;2024;1;35
52129;INGENIERIA ELECTRONICA;2024;1;16
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2024;1;51
107390;INGENIERIA FINANCIERA;2024;1;90
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2024;1;1
90442;INGENIERIA MECATRONICA;2024;1;74
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2024;1;1
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;1
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2024;1;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;1
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;19
6536;TECNOLOGIA EN PRODUCCION;2024;1;2
104332;QUIMICA INDUSTRIAL;2024;1;13
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2024;1;2
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2024;1;22
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2024;1;39
6537;TECNOLOGIA EN TELECOMUNICACIONES;2024;1;3
2114;TECNOLOGIA EN ELECTROMECANICA;2014;2;379
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;2;371
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;132
11085;TECNOLOGIA EN ELECTRONICA;2014;2;172
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;2;895
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;2;112
52129;INGENIERIA ELECTRONICA;2014;2;68
52130;INGENIERIA ELECTROMECANICA;2014;2;111
52131;INGENIERIA DE PRODUCCION;2014;2;82
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;140
52205;INGENIERIA DE SISTEMAS;2014;2;104
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;2;72
52299;INGENIERIA DE TELECOMUNICACIONES;2014;2;78
53340;INGENIERIA BIOMEDICA;2014;2;341
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;2;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;2;186
53800;TECNOLOGIA EN CALIDAD;2014;2;168
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;2;633
53802;TECNOLOGIA EN PRODUCCION;2014;2;393
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;880
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;2;317
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;9
55018;ESPECIALIZACION EN FINANZAS;2014;2;24
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;81
55072;ADMINISTRACION TECNOLOGICA;2014;2;270
90355;ARTES VISUALES;2014;2;92
90442;INGENIERIA MECATRONICA;2014;2;290
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;2;1
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2014;2;13
2114;TECNOLOGIA EN ELECTROMECANICA;2015;2;329
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;2;306
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;92
11085;TECNOLOGIA EN ELECTRONICA;2015;2;161
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;2;1033
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;2;85
52129;INGENIERIA ELECTRONICA;2015;2;65
52130;INGENIERIA ELECTROMECANICA;2015;2;93
52131;INGENIERIA DE PRODUCCION;2015;2;115
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;135
52205;INGENIERIA DE SISTEMAS;2015;2;99
52299;INGENIERIA DE TELECOMUNICACIONES;2015;2;93
53340;INGENIERIA BIOMEDICA;2015;2;388
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;2;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;119
53800;TECNOLOGIA EN CALIDAD;2015;2;188
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;2;626
53802;TECNOLOGIA EN PRODUCCION;2015;2;324
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;794
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;2;170
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;2;11
55018;ESPECIALIZACION EN FINANZAS;2015;2;43
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;81
55072;ADMINISTRACION TECNOLOGICA;2015;2;245
90355;ARTES VISUALES;2015;2;59
90442;INGENIERIA MECATRONICA;2015;2;319
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;2;11
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2015;2;11
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;2;19
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;2;147
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2015;2;9
104332;QUIMICA INDUSTRIAL;2015;2;33
104365;MAESTRIA EN CIENCIAS BASICAS: INNOVACIONES EN EDUCACION;2015;2;22
2114;TECNOLOGIA EN ELECTROMECANICA;2016;2;293
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;2;254
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;2;94
11085;TECNOLOGIA EN ELECTRONICA;2016;2;144
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;2;920
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;2;96
52129;INGENIERIA ELECTRÓNICA;2016;2;39
52130;INGENIERIA ELECTROMECÁNICA;2016;2;59
52131;INGENIERIA DE PRODUCCIÓN;2016;2;105
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;2;154
52205;INGENIERIA DE SISTEMAS;2016;2;87
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;2;53
53340;INGENIERÍA BIOMÉDICA;2016;2;301
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;2;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;2;142
53800;TECNOLOGIA EN CALIDAD;2016;2;147
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;2;629
53802;TECNOLOGIA EN PRODUCCIÓN;2016;2;389
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;683
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2016;2;143
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2016;2;9
55018;ESPECIALIZACIÓN EN FINANZAS;2016;2;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2016;2;79
55072;ADMINISTRACIÓN TECNÓLOGICA;2016;2;289
90355;ARTES VISUALES;2016;2;88
90442;INGENIERÍA MECATRÓNICA;2016;2;277
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;2;1
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;2;14
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2016;2;11
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;2;12
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;2;189
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2016;2;9
104332;QUÍMICA INDUSTRIAL;2016;2;57
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;2;46
104740;MAESTRÍA EN ARTES DIGITALES;2016;2;10
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;2;92
2114;TECNOLOGIA EN ELECTROMECANICA;2017;2;325
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;2;230
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;2;128
11085;TECNOLOGIA EN ELECTRONICA;2017;2;162
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;2;1061
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;2;98
52129;INGENIERIA ELECTR¿NICA;2017;2;50
52130;INGENIERIA ELECTROMEC¿NICA;2017;2;96
52131;INGENIERIA DE PRODUCCIÓN;2017;2;106
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;2;172
52205;INGENIERIA DE SISTEMAS;2017;2;107
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;2;64
53340;INGENIERÍA BIOMÉDICA;2017;2;318
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;2;13
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;2;162
53800;TECNOLOGIA EN CALIDAD;2017;2;158
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;2;701
53802;TECNOLOGIA EN PRODUCCIÓN;2017;2;353
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;2;724
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;2;155
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;2;10
55018;ESPECIALIZACIÓN EN FINANZAS;2017;2;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;2;99
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;2;302
90355;ARTES VISUALES;2017;2;88
90442;INGENIERÍA MECATRÓNICA;2017;2;293
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;2;1
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;2;17
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2017;2;24
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;2;14
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;2;176
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2017;2;8
104332;QUÍMICA INDUSTRIAL;2017;2;77
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;2;71
104740;MAESTRÍA EN ARTES DIGITALES;2017;2;7
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;2;15
105852;CONTADURÍA PÚBLICA;2017;2;167
106188;INGENIER¿A DE LA CALIDAD;2017;2;76
106314;CINE;2017;2;52
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;2;64
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;2;292
