CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;GRADUADOS
53802;TECNOLOGIA EN PRODUCCION;2015;1;35
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;194
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;34
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;73
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;112
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;1;61
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;176
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;2;62
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;2;38
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;166
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;120
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;1;34
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;110
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;2;155
52131;INGENIERIA DE PRODUCCION;2015;1;143
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;169
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;74
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;2;89
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;95
53802;TECNOLOGIA EN PRODUCCION;2015;2;113
52129;INGENIERIA ELECTRONICA;2014;1;40
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;128
52205;INGENIERIA DE SISTEMAS;2014;1;86
52299;INGENIERIA DE TELECOMUNICACIONES;2014;2;51
52131;INGENIERIA DE PRODUCCION;2014;2;90
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;39
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;2;257
52130;INGENIERIA ELECTROMECANICA;2015;2;34
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;170
52299;INGENIERIA DE TELECOMUNICACIONES;2015;1;32
53340;INGENIERIA BIOMEDICA;2015;1;18
53802;TECNOLOGIA EN PRODUCCION;2014;1;132
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;2;78
52131;INGENIERIA DE PRODUCCION;2014;1;78
53340;INGENIERIA BIOMEDICA;2015;2;59
11085;TECNOLOGIA EN ELECTRONICA;2014;1;41
55072;ADMINISTRACION TECNOLOGICA;2015;2;31
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;31
11085;TECNOLOGIA EN ELECTRONICA;2015;2;19
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;77
52299;INGENIERIA DE TELECOMUNICACIONES;2015;2;30
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;48
52130;INGENIERIA ELECTROMECANICA;2014;1;61
53802;TECNOLOGIA EN PRODUCCION;2014;2;117
2114;TECNOLOGIA EN ELECTROMECANICA;2015;2;49
52129;INGENIERIA ELECTRONICA;2015;1;18
52130;INGENIERIA ELECTROMECANICA;2014;2;47
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;37
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;2;92
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;30
2114;TECNOLOGIA EN ELECTROMECANICA;2014;2;63
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;61
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;62
11085;TECNOLOGIA EN ELECTRONICA;2015;1;10
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;2;65
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;29
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;2;32
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;91
52129;INGENIERIA ELECTRONICA;2014;2;20
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;2;28
52131;INGENIERIA DE PRODUCCION;2015;2;71
53800;TECNOLOGIA EN CALIDAD;2015;2;33
53800;TECNOLOGIA EN CALIDAD;2014;2;49
53800;TECNOLOGIA EN CALIDAD;2015;1;47
11085;TECNOLOGIA EN ELECTRONICA;2014;2;30
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;2;36
52130;INGENIERIA ELECTROMECANICA;2015;1;38
53800;TECNOLOGIA EN CALIDAD;2014;1;61
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;39
52129;INGENIERIA ELECTRONICA;2015;2;17
90355;ARTES VISUALES;2015;2;7
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;7
53340;INGENIERIA BIOMEDICA;2014;1;45
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;37
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;42
52205;INGENIERIA DE SISTEMAS;2014;2;45
52205;INGENIERIA DE SISTEMAS;2015;1;28
55018;ESPECIALIZACION EN FINANZAS;2014;1;10
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;29
55072;ADMINISTRACION TECNOLOGICA;2014;2;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;41
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;45
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;2;13
55018;ESPECIALIZACION EN FINANZAS;2015;2;15
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;36
52205;INGENIERIA DE SISTEMAS;2015;2;27
53340;INGENIERIA BIOMEDICA;2014;2;30
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;2
55072;ADMINISTRACION TECNOLOGICA;2015;1;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;36
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;10
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;2;26
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;1;1
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2015;1;1
55018;ESPECIALIZACION EN FINANZAS;2015;1;12
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2015;2;3
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;4
90442;INGENIERIA MECATRONICA;2015;2;5
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;26
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;2;5
11111;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2014;2;6
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2015;2;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;5
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;2;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;1;4
55018;ESPECIALIZACION EN FINANZAS;2014;2;2
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;8
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;2;2
11111;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2015;1;1
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2016;1;2
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2016;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2016;1;2
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2016;2;2
11085;TECNOLOGIA EN ELECTRONICA;2016;2;31
11085;TECNOLOGIA EN ELECTRONICA;2016;1;19
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;1;184
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;2;265
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;8
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;1
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;1;14
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;2;12
2114;TECNOLOGIA EN ELECTROMECANICA;2016;2;37
2114;TECNOLOGIA EN ELECTROMECANICA;2016;1;34
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;2
52129;INGENIERIA ELECTRONICA;2016;2;24
52129;INGENIERIA ELECTRONICA;2016;1;6
52130;INGENIERIA ELECTROMECONICA;2016;2;38
52130;INGENIERIA ELECTROMECONICA;2016;1;26
52131;INGENIERIA DE PRODUCCION;2016;2;56
52131;INGENIERIA DE PRODUCCION;2016;1;56
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;2;59
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;1;63
52205;INGENIERIA DE SISTEMAS;2016;2;51
52205;INGENIERIA DE SISTEMAS;2016;1;19
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2016;1;40
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2016;2;28
52299;INGENIERIA DE TELECOMUNICACIONES;2016;2;16
52299;INGENIERIA DE TELECOMUNICACIONES;2016;1;24
53340;INGENIERIA BIOMEDICA;2016;1;40
53340;INGENIERIA BIOMEDICA;2016;2;34
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2016;1;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2016;2;2
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;2;40
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;1;22
53800;TECNOLOGIA EN CALIDAD;2016;1;43
53800;TECNOLOGIA EN CALIDAD;2016;2;32
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;2;70
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;1;65
53802;TECNOLOGIA EN PRODUCCION;2016;1;124
53802;TECNOLOGIA EN PRODUCCION;2016;2;124
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;164
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;160
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2016;1;55
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2016;2;41
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2016;2;5
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2016;1;3
55018;ESPECIALIZACION EN FINANZAS;2016;1;17
55018;ESPECIALIZACION EN FINANZAS;2016;2;28
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2016;1;72
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2016;2;59
55072;ADMINISTRACION TECNOLOGICA;2016;1;36
55072;ADMINISTRACION TECNOLOGICA;2016;2;42
6536;TECNOLOGIA EN PRODUCCION;2016;2;3
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;2;78
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;1;45
90355;ARTES VISUALES;2016;1;3
90355;ARTES VISUALES;2016;2;5
90442;INGENIERIA MECATRONICA;2016;2;13
90442;INGENIERIA MECATRONICA;2016;1;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;2;24
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;1;15
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2017;1;62
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2017;2;75
11111;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2017;1;1
55018;ESPECIALIZACION EN FINANZAS;2017;2;18
55018;ESPECIALIZACION EN FINANZAS;2017;1;8
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2017;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2017;2;5
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2017;2;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2017;1;4
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2017;2;2
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2017;2;12
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2017;2;1
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2017;1;2
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2017;2;8
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;2;301
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;64
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;1;21
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;1;238
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;2;219
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;2;27
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;1;37
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;2;85
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;2;21
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;31
53800;TECNOLOGIA EN CALIDAD;2017;2;19
53800;TECNOLOGIA EN CALIDAD;2017;1;34
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;2;157
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;1;52
53802;TECNOLOGIA EN PRODUCCION;2017;2;160
53802;TECNOLOGIA EN PRODUCCION;2017;1;38
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2017;1;32
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2017;2;48
11085;TECNOLOGIA EN ELECTRONICA;2017;1;18
11085;TECNOLOGIA EN ELECTRONICA;2017;2;56
2114;TECNOLOGIA EN ELECTROMECANICA;2017;2;101
2114;TECNOLOGIA EN ELECTROMECANICA;2017;1;23
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;13
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;2;20
53340;INGENIERIA BIOMEDICA;2017;2;63
53340;INGENIERIA BIOMEDICA;2017;1;43
52129;INGENIERIA ELECTRONICA;2017;1;20
52129;INGENIERIA ELECTRONICA;2017;2;21
52130;INGENIERIA ELECTROMECONICA;2017;2;60
52130;INGENIERIA ELECTROMECONICA;2017;1;46
52131;INGENIERIA DE PRODUCCION;2017;2;64
52131;INGENIERIA DE PRODUCCION;2017;1;72
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;2;53
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;68
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2017;2;3
52205;INGENIERIA DE SISTEMAS;2017;2;38
52205;INGENIERIA DE SISTEMAS;2017;1;31
52299;INGENIERIA DE TELECOMUNICACIONES;2017;2;19
52299;INGENIERIA DE TELECOMUNICACIONES;2017;1;45
55072;ADMINISTRACION TECNOLOGICA;2017;2;51
55072;ADMINISTRACION TECNOLOGICA;2017;1;35
55105;FISICA;2017;2;2
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2017;2;20
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2017;1;27
90442;INGENIERIA MECATRONICA;2017;2;23
90442;INGENIERIA MECATRONICA;2017;1;19
90355;ARTES VISUALES;2017;2;13
90355;ARTES VISUALES;2017;1;5
2114;TECNOLOGIA EN ELECTROMECANICA;2018;1;15
2114;TECNOLOGIA EN ELECTROMECANICA;2018;2;50
6536;TECNOLOGIA EN PRODUCCION;2018;2;1
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;1;14
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;2;52
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;2;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;13
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;2;16
11085;TECNOLOGIA EN ELECTRONICA;2018;1;10
11085;TECNOLOGIA EN ELECTRONICA;2018;2;32
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;1;271
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;2;263
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;1;10
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;2;20
52129;INGENIERIA ELECTRÓNICA;2018;1;16
52129;INGENIERIA ELECTRÓNICA;2018;2;28
52130;INGENIERIA ELECTROMECÁNICA;2018;1;58
52130;INGENIERIA ELECTROMECÁNICA;2018;2;63
52131;INGENIERIA DE PRODUCCIÓN;2018;1;56
52131;INGENIERIA DE PRODUCCIÓN;2018;2;74
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;74
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;2;101
52205;INGENIERIA DE SISTEMAS;2018;1;58
52205;INGENIERIA DE SISTEMAS;2018;2;58
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2018;1;9
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2018;2;7
