CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;INSCRITOS
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;446
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;508
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;118
11085;TECNOLOGIA EN ELECTRONICA;2014;1;254
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;247
52129;INGENIERIA ELECTRONICA;2014;1;86
52130;INGENIERIA ELECTROMECANICA;2014;1;146
52131;INGENIERIA DE PRODUCCION;2014;1;227
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;202
52205;INGENIERIA DE SISTEMAS;2014;1;127
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;91
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;118
53340;INGENIERIA BIOMEDICA;2014;1;502
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;181
53800;TECNOLOGIA EN CALIDAD;2014;1;359
53802;TECNOLOGIA EN PRODUCCION;2014;1;658
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;823
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;367
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;9
54260;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;797
54261;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;938
55018;ESPECIALIZACION EN FINANZAS;2014;1;36
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;105
55072;ADMINISTRACION TECNOLOGICA;2014;1;271
90355;ARTES VISUALES;2014;1;136
90442;INGENIERIA MECATRONICA;2014;1;424
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;1;15
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;1;25
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;389
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;399
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;91
11085;TECNOLOGIA EN ELECTRONICA;2015;1;257
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;940
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;184
52129;INGENIERIA ELECTRONICA;2015;1;72
52130;INGENIERIA ELECTROMECANICA;2015;1;129
52131;INGENIERIA DE PRODUCCION;2015;1;164
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;192
52205;INGENIERIA DE SISTEMAS;2015;1;139
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;61
52299;INGENIERIA DE TELECOMUNICACIONES;2015;1;123
53340;INGENIERIA BIOMEDICA;2015;1;494
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;1;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;213
53800;TECNOLOGIA EN CALIDAD;2015;1;224
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;1;750
53802;TECNOLOGIA EN PRODUCCION;2015;1;517
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;843
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;1;292
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;1;18
55018;ESPECIALIZACION EN FINANZAS;2015;1;33
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;127
55072;ADMINISTRACION TECNOLOGICA;2015;1;292
90355;ARTES VISUALES;2015;1;148
90442;INGENIERIA MECATRONICA;2015;1;444
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;1;16
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2015;1;31
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;1;16
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;2
2114;TECNOLOGIA EN ELECTROMECANICA;2016;1;391
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;1;374
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;1;84
11085;TECNOLOGIA EN ELECTRONICA;2016;1;238
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;1;959
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;1;149
52129;INGENIERIA ELECTRÓNICA;2016;1;54
52130;INGENIERIA ELECTROMECÁNICA;2016;1;120
52131;INGENIERIA DE PRODUCCIÓN;2016;1;163
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;1;196
52205;INGENIERIA DE SISTEMAS;2016;1;127
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;1;77
53340;INGENIERÍA BIOMÉDICA;2016;1;460
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;1;11
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;1;151
53800;TECNOLOGIA EN CALIDAD;2016;1;274
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;1;934
53802;TECNOLOGIA EN PRODUCCIÓN;2016;1;517
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;858
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2016;1;186
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2016;1;16
55018;ESPECIALIZACIÓN EN FINANZAS;2016;1;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2016;1;124
55072;ADMINISTRACIÓN TECNÓLOGICA;2016;1;342
90355;ARTES VISUALES;2016;1;141
90442;INGENIERÍA MECATRÓNICA;2016;1;533
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;1;12
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;1;26
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;1;33
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;1;281
104332;QUÍMICA INDUSTRIAL;2016;1;66
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;1;151
104740;MAESTRÍA EN ARTES DIGITALES;2016;1;20
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;1;15
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;1;10
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;1;13
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;1;23
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;1;287
104332;QUÍMICA INDUSTRIAL;2017;1;88
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;1;159
104740;MAESTRÍA EN ARTES DIGITALES;2017;1;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;1;9
105852;CONTADURÍA PÚBLICA;2017;1;400
11085;TECNOLOGIA EN ELECTRONICA;2017;1;217
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;1;941
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;1;95
2114;TECNOLOGIA EN ELECTROMECANICA;2017;1;400
52129;INGENIERIA ELECTR¿NICA;2017;1;43
52130;INGENIERIA ELECTROMEC¿NICA;2017;1;91
52131;INGENIERIA DE PRODUCCIÓN;2017;1;179
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;213
52205;INGENIERIA DE SISTEMAS;2017;1;115
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;1;96
53340;INGENIERÍA BIOMÉDICA;2017;1;468
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;1;13
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;173
53800;TECNOLOGIA EN CALIDAD;2017;1;185
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;1;969
53802;TECNOLOGIA EN PRODUCCIÓN;2017;1;429
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;794
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;1;171
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;1;18
55018;ESPECIALIZACIÓN EN FINANZAS;2017;1;39
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;1;94
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;1;303
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;1;295
90355;ARTES VISUALES;2017;1;129
90442;INGENIERÍA MECATRÓNICA;2017;1;526
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;120
0;SIN PROGRAMA ESPECIFICO;2018;1;3
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2018;1;17
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;1;12
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2018;1;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;1;185
104332;QUÍMICA INDUSTRIAL;2018;1;94
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;1;165
104740;MAESTRÍA EN ARTES DIGITALES;2018;1;18
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;1;35
105852;CONTADURÍA PÚBLICA;2018;1;375
106188;INGENIERÍA DE LA CALIDAD;2018;1;126
106314;CINE;2018;1;177
11085;TECNOLOGIA EN ELECTRONICA;2018;1;201
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;1;943
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;1;145
2114;TECNOLOGIA EN ELECTROMECANICA;2018;1;306
52129;INGENIERIA ELECTRÓNICA;2018;1;57
52130;INGENIERIA ELECTROMECÁNICA;2018;1;92
52131;INGENIERIA DE PRODUCCIÓN;2018;1;121
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;188
52205;INGENIERIA DE SISTEMAS;2018;1;110
52299;INGENIERÍA DE TELECOMUNICACIONES;2018;1;59
53340;INGENIERÍA BIOMÉDICA;2018;1;319
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;1;11
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;1;167
53800;TECNOLOGIA EN CALIDAD;2018;1;190
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;1;803
53802;TECNOLOGIA EN PRODUCCIÓN;2018;1;333
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;1;726
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;1;169
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;1;17
55018;ESPECIALIZACIÓN EN FINANZAS;2018;1;35
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;1;95
55072;ADMINISTRACIÓN TECNÓLOGICA;2018;1;269
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;1;301
90355;ARTES VISUALES;2018;1;100
90442;INGENIERÍA MECATRÓNICA;2018;1;372
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;175
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;1;11
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2019;1;9
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2019;1;19
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2019;1;192
104332;QUÍMICA INDUSTRIAL;2019;1;88
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;1;209
104740;MAESTRÍA EN ARTES DIGITALES;2019;1;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2019;1;28
105852;CONTADURÍA PÚBLICA;2019;1;560
106188;INGENIERÍA DE LA CALIDAD;2019;1;136
106314;CINE;2019;1;180
106505;MAESTRÍA EN METROLOGÍA;2019;1;7
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2019;1;28
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2019;1;192
106973;DOCTORADO EN INGENIERÍA;2019;1;8
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2019;1;119
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2019;1;223
107390;INGENIERIA FINANCIERA;2019;1;186
107391;CIENCIAS AMBIENTALES;2019;1;88
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;1;1
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2019;1;209
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2019;1;91
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2019;1;916
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2019;1;144
52129;INGENIERIA ELECTRÓNICA;2019;1;32
52130;INGENIERIA ELECTROMECÁNICA;2019;1;56
52131;INGENIERIA DE PRODUCCIÓN;2019;1;103
52205;INGENIERIA DE SISTEMAS;2019;1;83
52299;INGENIERÍA DE TELECOMUNICACIONES;2019;1;52
53340;INGENIERÍA BIOMÉDICA;2019;1;334
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2019;1;3
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;1;124
53800;TECNOLOGIA EN CALIDAD;2019;1;136
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2019;1;539
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2019;1;119
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2019;1;14
55018;ESPECIALIZACIÓN EN FINANZAS;2019;1;29
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2019;1;108
55072;ADMINISTRACIÓN TECNÓLOGICA;2019;1;277
90355;ARTES VISUALES;2019;1;87
90442;INGENIERÍA MECATRÓNICA;2019;1;496
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;1;171
0;SIN PROGRAMA ESPECIFICO;2019;1;1584
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2020;1;11
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2020;1;26
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2020;1;163
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2020;1;11
104332;QUÍMICA INDUSTRIAL;2020;1;87
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;1;173
104740;MAESTRÍA EN ARTES DIGITALES;2020;1;12
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2020;1;11
105852;CONTADURÍA PÚBLICA;2020;1;449
106188;INGENIERÍA DE LA CALIDAD;2020;1;125
106314;CINE;2020;1;180
106505;MAESTRÍA EN METROLOGÍA;2020;1;8
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2020;1;24
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2020;1;259
106973;DOCTORADO EN INGENIERÍA;2020;1;10
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2020;1;161
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2020;1;125
107390;INGENIERIA FINANCIERA;2020;1;196
107391;CIENCIAS AMBIENTALES;2020;1;100
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2020;1;122
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2020;1;841
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2020;1;16
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2020;1;137
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2020;1;57
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2020;1;182
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2020;1;771
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2020;1;138
52129;INGENIERIA ELECTRÓNICA;2020;1;40
52130;INGENIERIA ELECTROMECÁNICA;2020;1;62
52131;INGENIERIA DE PRODUCCIÓN;2020;1;83
52205;INGENIERIA DE SISTEMAS;2020;1;83
52299;INGENIERÍA DE TELECOMUNICACIONES;2020;1;37
53340;INGENIERÍA BIOMÉDICA;2020;1;255
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2020;1;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;1;140
53800;TECNOLOGIA EN CALIDAD;2020;1;183
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2020;1;476
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2020;1;147
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2020;1;16
55018;ESPECIALIZACIÓN EN FINANZAS;2020;1;41
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2020;1;89
55072;ADMINISTRACIÓN TECNÓLOGICA;2020;1;217
90355;ARTES VISUALES;2020;1;96
90442;INGENIERÍA MECATRÓNICA;2020;1;330
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;1;174
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2021;1;4
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2021;1;9
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2021;1;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2021;1;113
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2021;1;5
104332;QUÍMICA INDUSTRIAL;2021;1;72
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;1;178
104740;MAESTRÍA EN ARTES DIGITALES;2021;1;3
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2021;1;7
105852;CONTADURÍA PÚBLICA;2021;1;385
106188;INGENIERÍA DE LA CALIDAD;2021;1;91
106314;CINE;2021;1;117
106505;MAESTRÍA EN METROLOGÍA;2021;1;2
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2021;1;11
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2021;1;188
106973;DOCTORADO EN INGENIERÍA;2021;1;9
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2021;1;104
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;1;179
107390;INGENIERIA FINANCIERA;2021;1;173
107391;CIENCIAS AMBIENTALES;2021;1;69
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;1;197
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;1;1089
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;11
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;313
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;87
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;43
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;35
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;207
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2021;1;797
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2021;1;166
52129;INGENIERIA ELECTRÓNICA;2021;1;23
52130;INGENIERIA ELECTROMECÁNICA;2021;1;72
52131;INGENIERIA DE PRODUCCIÓN;2021;1;73
52205;INGENIERIA DE SISTEMAS;2021;1;112
52299;INGENIERÍA DE TELECOMUNICACIONES;2021;1;29
53340;INGENIERÍA BIOMÉDICA;2021;1;270
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2021;1;6
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;1;133
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2021;1;343
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2021;1;110
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2021;1;15
