CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;1;190
107390;INGENIERIA FINANCIERA;2021;1;145
107391;CIENCIAS AMBIENTALES;2021;1;70
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;1;175
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;1;522
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;12
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;181
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;70
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;37
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;29
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;164
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;75
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;349
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;38
52129;INGENIERIA ELECTRÓNICA;2022;1;7
52130;INGENIERIA ELECTROMECÁNICA;2022;1;28
52131;INGENIERIA DE PRODUCCIÓN;2022;1;63
52205;INGENIERIA DE SISTEMAS;2022;1;64
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;15
53340;INGENIERÍA BIOMÉDICA;2022;1;88
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;3
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;65
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;259
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;45
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;10
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;54
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;285
90355;ARTES VISUALES;2022;1;37
90442;INGENIERÍA MECATRÓNICA;2022;1;302
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;5
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;4
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;13
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;116
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;2
104332;QUÍMICA INDUSTRIAL;2022;1;68
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;39
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;7
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;4
105852;CONTADURÍA PÚBLICA;2022;1;219
106188;INGENIERÍA DE LA CALIDAD;2022;1;89
106314;CINE;2022;1;30
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;7
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;161
106973;DOCTORADO EN INGENIERÍA;2022;1;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;151
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;158
107390;INGENIERIA FINANCIERA;2022;1;125
107391;CIENCIAS AMBIENTALES;2022;1;64
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;98
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;529
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;4
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;216
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;91
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;76
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;44
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;60
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;30
55072;ADMINISTRACION TECNOLOGICA;2023;1;144
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;489
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;54
90355;ARTES VISUALES;2023;1;75
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;1;121
107391;CIENCIAS AMBIENTALES;2023;1;97
106314;CINE;2023;1;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;86
105852;CONTADURIA PUBLICA;2023;1;128
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;1;70
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;1;83
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;1;567
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;1;54
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;1;179
106973;DOCTORADO EN INGENIERIA;2023;1;1
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;1;39
55018;ESPECIALIZACION EN FINANZAS;2023;1;45
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;1;69
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;1;9
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;1;52
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;1;40
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;1;794
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;1;121
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;1;78
53340;INGENIERIA BIOMEDICA;2023;1;135
106188;INGENIERIA DE LA CALIDAD;2023;1;79
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;1;89
90442;INGENIERIA MECATRONICA;2023;1;280
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;1;46
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;1;5
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2023;1;8
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;1;2
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;4
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;1;5
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;3
106505;MAESTRIA EN METROLOGIA;2023;1;4
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;1;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;126
104332;QUIMICA INDUSTRIAL;2023;1;88
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;1;112
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;1;157
55072;ADMINISTRACION TECNOLOGICA;2024;1;245
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;393
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;45
90355;ARTES VISUALES;2024;1;38
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2024;1;131
107391;CIENCIAS AMBIENTALES;2024;1;69
106314;CINE;2024;1;52
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;73
105852;CONTADURIA PUBLICA;2024;1;121
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2024;1;74
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2024;1;119
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2024;1;804
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2024;1;44
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2024;1;175
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2024;1;52
55018;ESPECIALIZACION EN FINANZAS;2024;1;40
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;56
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2024;1;5
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;40
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2024;1;44
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2024;1;602
111337;TECNOLOGIA EN GESTION COMERCIAL;2024;1;80
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2024;1;169
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2024;1;47
53340;INGENIERIA BIOMEDICA;2024;1;189
106188;INGENIERIA DE LA CALIDAD;2024;1;82
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2024;1;72
90442;INGENIERIA MECATRONICA;2024;1;283
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2024;1;49
104740;MAESTRIA EN ARTES DIGITALES;2024;1;6
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;3
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;4
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2024;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2024;1;4
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;3
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;5
106505;MAESTRIA EN METROLOGIA;2024;1;2
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;9
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;96
104332;QUIMICA INDUSTRIAL;2024;1;69
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2024;1;77
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2024;1;168
2114;TECNOLOGIA EN ELECTROMECANICA;2014;2;218
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;2;209
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;72
11085;TECNOLOGIA EN ELECTRONICA;2014;2;99
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;2;620
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;2;77
52129;INGENIERIA ELECTRONICA;2014;2;50
52130;INGENIERIA ELECTROMECANICA;2014;2;78
52131;INGENIERIA DE PRODUCCION;2014;2;66
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;118
52205;INGENIERIA DE SISTEMAS;2014;2;75
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;2;50
52299;INGENIERIA DE TELECOMUNICACIONES;2014;2;51
53340;INGENIERIA BIOMEDICA;2014;2;220
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;2;9
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;2;112
53800;TECNOLOGIA EN CALIDAD;2014;2;110
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;2;385
53802;TECNOLOGIA EN PRODUCCION;2014;2;273
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;550
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;2;181
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;7
55018;ESPECIALIZACION EN FINANZAS;2014;2;16
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;68
55072;ADMINISTRACION TECNOLOGICA;2014;2;197
90355;ARTES VISUALES;2014;2;64
90442;INGENIERIA MECATRONICA;2014;2;203
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2014;2;12
2114;TECNOLOGIA EN ELECTROMECANICA;2015;2;213
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;2;174
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;52
11085;TECNOLOGIA EN ELECTRONICA;2015;2;100
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;2;733
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;2;50
52129;INGENIERIA ELECTRONICA;2015;2;46
52130;INGENIERIA ELECTROMECANICA;2015;2;66
52131;INGENIERIA DE PRODUCCION;2015;2;98
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;107
52205;INGENIERIA DE SISTEMAS;2015;2;77
52299;INGENIERIA DE TELECOMUNICACIONES;2015;2;63
53340;INGENIERIA BIOMEDICA;2015;2;251
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;2;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;69
53800;TECNOLOGIA EN CALIDAD;2015;2;148
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;2;425
53802;TECNOLOGIA EN PRODUCCION;2015;2;230
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;562
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;2;85
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;2;7
55018;ESPECIALIZACION EN FINANZAS;2015;2;30
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;62
55072;ADMINISTRACION TECNOLOGICA;2015;2;185
90355;ARTES VISUALES;2015;2;43
90442;INGENIERIA MECATRONICA;2015;2;231
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;2;6
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2015;2;10
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;2;18
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;2;125
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2015;2;9
104332;QUIMICA INDUSTRIAL;2015;2;24
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2015;2;16
2114;TECNOLOGIA EN ELECTROMECANICA;2016;2;184
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;2;143
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;2;56
11085;TECNOLOGIA EN ELECTRONICA;2016;2;70
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;2;661
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;2;57
52129;INGENIERIA ELECTRÓNICA;2016;2;24
52130;INGENIERIA ELECTROMECÁNICA;2016;2;29
52131;INGENIERIA DE PRODUCCIÓN;2016;2;84
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;2;117
52205;INGENIERIA DE SISTEMAS;2016;2;55
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;2;35
53340;INGENIERÍA BIOMÉDICA;2016;2;198
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;2;5
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;2;82
53800;TECNOLOGIA EN CALIDAD;2016;2;90
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;2;399
53802;TECNOLOGIA EN PRODUCCIÓN;2016;2;234
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;445
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2016;2;78
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2016;2;5
55018;ESPECIALIZACIÓN EN FINANZAS;2016;2;19
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2016;2;68
55072;ADMINISTRACIÓN TECNÓLOGICA;2016;2;222
90355;ARTES VISUALES;2016;2;60
90442;INGENIERÍA MECATRÓNICA;2016;2;193
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;2;11
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2016;2;8
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;2;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;2;155
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2016;2;9
104332;QUÍMICA INDUSTRIAL;2016;2;43
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;2;38
104740;MAESTRÍA EN ARTES DIGITALES;2016;2;9
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;2;83
2114;TECNOLOGIA EN ELECTROMECANICA;2017;2;187
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;2;150
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;2;85
11085;TECNOLOGIA EN ELECTRONICA;2017;2;101
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;2;740
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;2;65
52129;INGENIERIA ELECTR¿NICA;2017;2;33
52130;INGENIERIA ELECTROMEC¿NICA;2017;2;64
52131;INGENIERIA DE PRODUCCIÓN;2017;2;82
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;2;148
52205;INGENIERIA DE SISTEMAS;2017;2;85
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;2;42
53340;INGENIERÍA BIOMÉDICA;2017;2;213
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;2;8
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;2;93
53800;TECNOLOGIA EN CALIDAD;2017;2;98
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;2;455
53802;TECNOLOGIA EN PRODUCCIÓN;2017;2;212
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;2;462
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;2;82
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;2;6
55018;ESPECIALIZACIÓN EN FINANZAS;2017;2;28
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;2;85
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;2;205
90355;ARTES VISUALES;2017;2;62
90442;INGENIERÍA MECATRÓNICA;2017;2;191
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;2;9
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2017;2;21
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;2;9
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;2;144
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2017;2;6
104332;QUÍMICA INDUSTRIAL;2017;2;56
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;2;65
104740;MAESTRÍA EN ARTES DIGITALES;2017;2;7
