CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;2;12
105852;CONTADURÍA PÚBLICA;2017;2;153
106188;INGENIER¿A DE LA CALIDAD;2017;2;62
106314;CINE;2017;2;48
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;2;210
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;2;793
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;2;97
52129;INGENIERIA ELECTR¿NICA;2018;2;35
52130;INGENIERIA ELECTROMEC¿NICA;2018;2;38
52131;INGENIERIA DE PRODUCCI¿N;2018;2;63
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;2;148
52205;INGENIERIA DE SISTEMAS;2018;2;85
52299;INGENIER¿A DE TELECOMUNICACIONES;2018;2;40
53340;INGENIERÍA BIOMÉDICA;2018;2;170
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;2;2
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;2;112
53800;TECNOLOGIA EN CALIDAD;2018;2;228
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;2;7
53802;TECNOLOGIA EN PRODUCCIÓN;2018;2;240
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;2;536
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;2;96
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;2;5
55018;ESPECIALIZACIÓN EN FINANZAS;2018;2;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;2;56
55072;ADMINISTRACI¿N TECN¿LOGICA;2018;2;193
90355;ARTES VISUALES;2018;2;43
90442;INGENIERÍA MECATRÓNICA;2018;2;221
101804;MAESTR¿A EN ESTUDIOS DE CIENCIA, TECNOLOG¿A, SOCIEDAD E INNOVACI¿N;2018;2;4
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;2;12
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2018;2;17
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2018;2;7
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;2;94
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2018;2;6
104332;QUÍMICA INDUSTRIAL;2018;2;62
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;2;76
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;2;8
105852;CONTADURÍA PÚBLICA;2018;2;180
106188;INGENIERÍA DE LA CALIDAD;2018;2;93
106314;CINE;2018;2;70
106505;MAESTRÍA EN METROLOGÍA;2018;2;7
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2018;2;11
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2018;2;119
107004;TECNOLOGIA EN AUTOMATIZACI¿N ELECTRONICA;2018;2;172
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;2;114
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2019;2;534
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2019;2;78
52129;INGENIERIA ELECTRÓNICA;2019;2;25
52130;INGENIERIA ELECTROMECÁNICA;2019;2;47
52131;INGENIERIA DE PRODUCCIÓN;2019;2;94
52205;INGENIERIA DE SISTEMAS;2019;2;69
52299;INGENIERÍA DE TELECOMUNICACIONES;2019;2;32
53340;INGENIERÍA BIOMÉDICA;2019;2;132
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2019;2;2
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;2;125
53800;TECNOLOGIA EN CALIDAD;2019;2;162
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2019;2;362
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2019;2;131
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2019;2;6
55018;ESPECIALIZACIÓN EN FINANZAS;2019;2;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2019;2;66
55072;ADMINISTRACIÓN TECNÓLOGICA;2019;2;164
90355;ARTES VISUALES;2019;2;40
90442;INGENIERÍA MECATRÓNICA;2019;2;137
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;2;7
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2019;2;7
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2019;2;6
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2019;2;85
104332;QUÍMICA INDUSTRIAL;2019;2;45
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;2;55
104740;MAESTRÍA EN ARTES DIGITALES;2019;2;8
105852;CONTADURÍA PÚBLICA;2019;2;249
106188;INGENIERÍA DE LA CALIDAD;2019;2;77
106314;CINE;2019;2;53
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2019;2;15
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2019;2;129
106973;DOCTORADO EN INGENIERÍA;2019;2;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2019;2;56
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2019;2;120
107390;INGENIERIA FINANCIERA;2019;2;125
107391;CIENCIAS AMBIENTALES;2019;2;48
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2019;2;122
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2019;2;351
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2019;2;9
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2019;2;100
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;2;170
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2020;2;677
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2020;2;106
52129;INGENIERIA ELECTRÓNICA;2020;2;24
52130;INGENIERIA ELECTROMECÁNICA;2020;2;34
52131;INGENIERIA DE PRODUCCIÓN;2020;2;70
52205;INGENIERIA DE SISTEMAS;2020;2;79
52299;INGENIERÍA DE TELECOMUNICACIONES;2020;2;32
53340;INGENIERÍA BIOMÉDICA;2020;2;143
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2020;2;6
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;2;143
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2020;2;310
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2020;2;104
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2020;2;8
55018;ESPECIALIZACIÓN EN FINANZAS;2020;2;18
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2020;2;52
55072;ADMINISTRACIÓN TECNÓLOGICA;2020;2;148
90355;ARTES VISUALES;2020;2;34
90442;INGENIERÍA MECATRÓNICA;2020;2;121
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2020;2;10
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2020;2;11
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2020;2;6
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2020;2;92
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2020;2;6
104332;QUÍMICA INDUSTRIAL;2020;2;51
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;2;65
104740;MAESTRÍA EN ARTES DIGITALES;2020;2;8
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2020;2;18
105852;CONTADURÍA PÚBLICA;2020;2;226
106188;INGENIERÍA DE LA CALIDAD;2020;2;61
106314;CINE;2020;2;63
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2020;2;4
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2020;2;147
106973;DOCTORADO EN INGENIERÍA;2020;2;1
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2020;2;89
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2020;2;188
107390;INGENIERIA FINANCIERA;2020;2;181
107391;CIENCIAS AMBIENTALES;2020;2;63
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2020;2;6
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2020;2;144
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2020;2;523
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2020;2;6
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2020;2;161
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2020;2;110
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2020;2;18
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2020;2;21
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2020;2;202
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2021;2;130
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2021;2;451
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2021;2;42
52129;INGENIERIA ELECTRÓNICA;2021;2;17
52130;INGENIERIA ELECTROMECÁNICA;2021;2;47
52131;INGENIERIA DE PRODUCCIÓN;2021;2;69
52205;INGENIERIA DE SISTEMAS;2021;2;100
52299;INGENIERÍA DE TELECOMUNICACIONES;2021;2;18
53340;INGENIERÍA BIOMÉDICA;2021;2;89
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2021;2;1
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;2;127
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2021;2;341
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2021;2;37
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2021;2;4
55018;ESPECIALIZACIÓN EN FINANZAS;2021;2;23
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2021;2;67
55072;ADMINISTRACIÓN TECNÓLOGICA;2021;2;271
90355;ARTES VISUALES;2021;2;41
90442;INGENIERÍA MECATRÓNICA;2021;2;204
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2021;2;4
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2021;2;7
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2021;2;11
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2021;2;61
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2021;2;4
104332;QUÍMICA INDUSTRIAL;2021;2;65
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;2;39
104740;MAESTRÍA EN ARTES DIGITALES;2021;2;5
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2021;2;10
105852;CONTADURÍA PÚBLICA;2021;2;191
106188;INGENIERÍA DE LA CALIDAD;2021;2;93
106314;CINE;2021;2;32
106505;MAESTRÍA EN METROLOGÍA;2021;2;2
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2021;2;11
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2021;2;157
106973;DOCTORADO EN INGENIERÍA;2021;2;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2021;2;90
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;2;143
107390;INGENIERIA FINANCIERA;2021;2;127
107391;CIENCIAS AMBIENTALES;2021;2;75
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2021;2;10
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;2;109
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;2;491
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;2;10
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;2;97
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;2;97
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;2;105
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;2;63
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;2;85
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2021;2;25
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;2;57
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;2;423
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;2;53
52129;INGENIERIA ELECTRÓNICA;2022;2;28
52130;INGENIERIA ELECTROMECÁNICA;2022;2;27
52131;INGENIERIA DE PRODUCCIÓN;2022;2;47
52205;INGENIERIA DE SISTEMAS;2022;2;56
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;2;18
53340;INGENIERÍA BIOMÉDICA;2022;2;127
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;2;69
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;2;359
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;2;71
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;2;6
55018;ESPECIALIZACIÓN EN FINANZAS;2022;2;25
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;2;70
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;2;293
90355;ARTES VISUALES;2022;2;35
90442;INGENIERÍA MECATRÓNICA;2022;2;209
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;2;7
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;2;4
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;2;8
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;2;87
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;2;2
104332;QUÍMICA INDUSTRIAL;2022;2;74
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;2;58
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;2;2
105852;CONTADURÍA PÚBLICA;2022;2;277
106188;INGENIERÍA DE LA CALIDAD;2022;2;100
106314;CINE;2022;2;54
106505;MAESTRÍA EN METROLOGÍA;2022;2;3
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;2;4
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;2;138
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;2;111
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;2;148
107390;INGENIERIA FINANCIERA;2022;2;98
107391;CIENCIAS AMBIENTALES;2022;2;85
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;2;8
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;2;100
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;2;576
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;2;4
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;2;265
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;2;137
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;2;87
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;2;42
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;2;86
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;2;26
110901;ESPECIALIZACIÓN EN CIBERSEGURIDAD;2022;2;32
110902;ESPECIALIZACIÓN EN INGENIERÍA DE SOFTWARE;2022;2;19
110940;ESPECIALIZACIÓN EN GESTIÓN DEL MANTENIMIENTO INDUSTRIAL;2022;2;27
55072;ADMINISTRACION TECNOLOGICA;2023;2;130
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;309
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;51
90355;ARTES VISUALES;2023;2;55
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;2;90
107391;CIENCIAS AMBIENTALES;2023;2;58
106314;CINE;2023;2;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;57
105852;CONTADURIA PUBLICA;2023;2;119
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;2;54
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;2;76
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;2;522
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;2;31
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;2;138
106973;DOCTORADO EN INGENIERIA;2023;2;2
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;2;34
55018;ESPECIALIZACION EN FINANZAS;2023;2;32
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;55
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;2;4
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;41
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;2;26
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;2;569
111337;TECNOLOGIA EN GESTION COMERCIAL;2023;2;9
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;2;115
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;2;54
53340;INGENIERIA BIOMEDICA;2023;2;162
106188;INGENIERIA DE LA CALIDAD;2023;2;50
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;2;70
90442;INGENIERIA MECATRONICA;2023;2;210
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;2;46
104740;MAESTRIA EN ARTES DIGITALES;2023;2;4
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;10
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2023;2;15
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;11
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;2;4
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;5
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;3
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;5
106505;MAESTRIA EN METROLOGIA;2023;2;4
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;8
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;39
104332;QUIMICA INDUSTRIAL;2023;2;41
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;2;59
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;2;87
