C휷IGO SNIES DEL PROGRAMA;PROGRAMA ACAD텘ICO ;PROGRAMA ACAD텘ICO SIA;A헲;SEMESTRE;INSCRITOS
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;1;181
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;390
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;1;162
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;346
90355;ARTES VISUALES;ARTES VISUALES;2023;1;132
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;1;101
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;1;103
106314;CINE;CINE;2023;1;207
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;107
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;1;627
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;1;94
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;1;50
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;1;2873
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2023;1;101
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;1;120
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;1;3
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2023;1;18
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;1;27
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;1;60
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;1;84
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;1;12
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;1;17
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;1;45
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2023;1;15
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2023;1;29
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;1;550
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;1;350
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2023;1;131
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;1;79
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;1;394
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;1;121
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;1;66
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;1;93
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;1;27
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2023;1;56
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2023;1;34
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2023;1;165
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2023;1;156
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;1;1
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2023;1;377
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2023;1;119
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2023;1;3
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;1;8
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;1;4
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;1;1
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2023;1;12
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2023;1;6
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;13
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;1;5
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;4
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2023;1;4
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2023;1;8
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;59
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2023;1;138
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2023;1;125
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2023;1;188
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;2;152
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;340
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;2;179
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;241
90355;ARTES VISUALES;ARTES VISUALES;2023;2;84
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;2;103
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;2;114
106314;CINE;CINE;2023;2;166
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;123
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;2;544
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;2;95
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;2;40
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;2;2040
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2023;2;87
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;2;118
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;2;9
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2023;2;28
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;2;25
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;2;46
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;88
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;2;6
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;21
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;2;43
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2023;2;22
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2023;2;25
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;2;592
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;2;436
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2023;2;39
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2023;2;92
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;2;81
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;2;320
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;2;107
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;2;57
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;2;87
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;2;21
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2023;2;34
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2023;2;24
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2023;2;130
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2023;2;134
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2023;2;267
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2023;2;97
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2023;2;10
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;13
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;2;11
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;19
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2023;2;3
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - VIRTUAL;2023;2;16
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2023;2;11
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;20
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;4
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;5
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2023;2;6
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;11
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;65
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2023;2;75
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2023;2;101
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2023;2;135
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2024;1;308
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;469
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2024;1;186
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;284
90355;ARTES VISUALES;ARTES VISUALES;2024;1;122
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2024;1;141
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2024;1;133
106314;CINE;CINE;2024;1;228
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;127
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2024;1;785
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2024;1;123
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2024;1;66
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2024;1;2767
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2024;1;98
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2024;1;153
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2024;1;8
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2024;1;38
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2024;1;153
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2024;1;89
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;103
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2024;1;8
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;25
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2024;1;37
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2024;1;44
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2024;1;260
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2024;1;756
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2024;1;411
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2024;1;238
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2024;1;135
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2024;1;100
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2024;1;404
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2024;1;164
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2024;1;54
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2024;1;83
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2024;1;20
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2024;1;44
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2024;1;23
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2024;1;196
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2024;1;149
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2024;1;560
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2024;1;142
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2024;1;11
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;13
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;7
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2024;1;9
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2024;1;8
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;14
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;6
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;12
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2024;1;5
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;17
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;107
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2024;1;128
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2024;1;124
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2024;1;273
