C휷IGO SNIES DEL PROGRAMA;PROGRAMA ACAD텘ICO ;PROGRAMA ACAD텘ICO SIA;A헲;SEMESTRE;MATRICULADOS
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;1;1612
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;1768
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;1;302
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;417
90355;ARTES VISUALES;ARTES VISUALES;2023;1;361
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;1;480
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2023;1;140
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;1;399
106314;CINE;CINE;2023;1;368
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;446
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;1;1655
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;1;369
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;1;137
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;1;2488
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2023;1;388
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;1;289
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;1;19
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2023;1;61
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2023;1;28
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2023;1;26
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;1;42
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;1;70
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;1;140
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;1;13
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;1;29
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;1;47
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2023;1;26
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2023;1;33
55105;FISICA;FISICA;2023;1;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;1;2616
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;1;806
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2023;1;501
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;1;324
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;1;1331
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;1;475
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;1;386
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;1;462
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;1;142
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2023;1;288
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2023;1;153
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2023;1;737
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2023;1;636
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;1;27
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2023;1;1671
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2023;1;90
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2023;1;14
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;1;32
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;1;21
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;1;18
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2023;1;12
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - VIRTUAL;2023;1;13
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2023;1;18
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;26
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;1;19
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;14
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2023;1;7
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2023;1;45
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;564
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2023;1;118
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2023;1;500
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2023;1;181
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2023;1;424
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2023;1;643
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2023;1;43
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;2;1450
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;1533
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;2;342
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;423
90355;ARTES VISUALES;ARTES VISUALES;2023;2;368
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;2;488
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2023;2;84
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;2;423
106314;CINE;CINE;2023;2;368
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;395
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;2;1662
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;2;377
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;2;135
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;2;2768
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2023;2;340
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;2;326
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;2;20
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2023;2;32
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2023;2;17
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2023;2;36
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;2;40
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;2;77
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;129
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;2;12
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;29
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;2;63
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2023;2;23
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2023;2;40
55105;FISICA;FISICA;2023;2;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;2;2280
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;2;921
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2023;2;10
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2023;2;484
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;2;333
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;2;1321
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;2;459
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;2;354
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;2;428
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;2;120
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2023;2;251
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2023;2;149
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2023;2;715
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2023;2;574
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;2;21
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2023;2;1581
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2023;2;112
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2023;2;16
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;35
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;2;15
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;20
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2023;2;13
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - VIRTUAL;2023;2;19
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2023;2;19
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;25
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;16
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;12
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2023;2;10
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;45
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;438
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2023;2;66
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2023;2;472
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2023;2;122
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2023;2;389
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2023;2;588
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2023;2;36
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2024;1;1445
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;1511
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2024;1;373
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;439
90355;ARTES VISUALES;ARTES VISUALES;2024;1;363
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2024;1;501
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2024;1;58
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2024;1;453
106314;CINE;CINE;2024;1;385
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;393
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2024;1;1637
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2024;1;371
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2024;1;197
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2024;1;3247
1518;TECNOLOGIA EN DISE헲 INDUSTRIAL;DISE헲 INDUSTRIAL;2024;1;334
108394;TECNOLOGIA EN DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISE헲 Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2024;1;386
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2024;1;21
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2024;1;23
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2024;1;9
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2024;1;34
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2024;1;58
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2024;1;76
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;116
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2024;1;8
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;29
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2024;1;52
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - PRESENCIAL;2024;1;21
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2024;1;51
55105;FISICA;FISICA;2024;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2024;1;2105
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2024;1;990
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2024;1;85
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2024;1;539
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2024;1;317
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2024;1;1287
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2024;1;470
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2024;1;317
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2024;1;383
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2024;1;105
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2024;1;224
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2024;1;133
52272;INGENIERIA EN DISE헲 INDUSTRIAL;INGENIERIA EN DISE헲 INDUSTRIAL;2024;1;730
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2024;1;545
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2024;1;15
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2024;1;1603
109927;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;INTERPRETACION Y TRADUCCION LENGUA DE SE헤S COLOMBIANA - ESPA헲L;2024;1;146
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2024;1;14
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;30
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;16
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2024;1;14
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2024;1;14
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - VIRTUAL;2024;1;17
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2024;1;20
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;18
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;13
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;19
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2024;1;11
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;50
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;451
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2024;1;39
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2024;1;469
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2024;1;67
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2024;1;391
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2024;1;620
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2024;1;33
