NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2
3302-109927-INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;40%
3302-1518-TECNOLOGIA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;52.86%;54.07%;60.34%;76.79%;76.59%;72.86%;76.51%;75.49%;81.72%;76.27%;84.02%;80.26%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.69%;2.96%;0%
3302-2114-TECNOLOGIA EN ELECTROMECANICA;TASA DE RETENCIÓN;0%;0%;82.35%;89.16%;84.01%;89.18%;83.77%;86.6%;85.34%;83.58%;89.25%;85.4%;88.56%;91.24%;89.13%;88.03%;79.9%;78.22%;73.14%;72.67%;69.13%;64.29%;63.83%;79.15%;84.44%;81.99%;75.33%;72.58%;81.63%;78.07%;83.48%;72.78%;77.01%;81.99%;82.44%;76.75%;81.77%;77.24%;77.01%;79.15%;79.93%;78.76%;77.68%;82.41%;79.29%;83.96%;93.89%;90.26%;91.71%;87.67%
3302-2240-TECNOLOGIA EN SECRETARIADO EJECUTIVO;TASA DE RETENCIÓN;0%;0%;89.83%;82.98%;86.13%;87.5%;79%;86.75%;89.82%;90.67%;87.01%;86.8%;88.42%;93.39%;94.87%;97.3%;92.86%;77.78%;43.75%;0%;71.43%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4277-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;61.29%;37.5%;45.16%;52.59%;71.43%;72.89%;71.49%;76.33%;81.46%;76.34%;82.02%;81.96%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.71%;0%
3302-4750-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;65%;66.95%;68.29%;82.03%;80.44%;76.99%;77.78%;76.97%;86.37%;82.67%;86.35%;82.26%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80.5%;2.14%;100%;71.43%
3302-6536-TECNOLOGIA EN PRODUCCION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;64.93%;64.33%;65.77%;77.04%;81.14%;78.26%;74.27%;78.63%;82.61%;80.24%;84.95%;84.1%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;77.96%;3.32%;100%;100%;0%
3302-6537-TECNOLOGIA EN TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;77.27%;81.7%;86.96%;82.28%;85.34%;85.14%;81.86%;89.72%;83.64%;87.44%;87.24%;85.6%;85.13%;79.7%;79.3%;75.68%;72.71%;68.29%;61.85%;67.09%;79.81%;80.19%;75.5%;69.9%;69.38%;73.98%;79.3%;78.79%;71.44%;79.44%;82.11%;81.35%;77.81%;79.52%;77.89%;75.29%;72.7%;77.06%;74.62%;73.59%;72.9%;78.44%;79.56%;91.63%;90.48%;88.24%;90%
3302-8483-TECNOLOGIA EN CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;55.43%;63.75%;62.34%;75.85%;77.86%;72.6%;74.02%;74.48%;79.85%;74.58%;81.31%;77.37%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;76.91%;0%;50%
3302-8485-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;63.05%;59.53%;61.6%;75.84%;81.08%;74.72%;72.71%;65.88%;73.57%;76.34%;81.48%;78.21%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;75.3%;0.63%;0%
3302-9466-TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;73.68%;83.22%;81.43%;81.06%;81.22%;85.26%;85.68%;82.72%;81.13%;76.56%;76.92%;74.39%;75.28%;64.02%;59.35%;60.68%;69.74%;82.27%;78.59%;71.36%;73.65%;78.76%;73.91%;74.77%;70.33%;79.19%;81.15%;82.52%;76.76%;81.87%;75.68%;74.83%;74.91%;77.86%;80.41%;72.93%;74.22%;72.45%;77.51%;88.02%;85.54%;82.31%;83.84%
3302-11085-TECNOLOGIA EN ELECTRONICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;81.67%;80.98%;86.77%;88.17%;88.3%;90.78%;88.36%;85.29%;87.13%;74.24%;69.59%;67.59%;61.83%;70.9%;81.93%;86.03%;77.66%;73.8%;72.31%;78.74%;77.41%;81.84%;75.13%;80.82%;82.89%;79.58%;80.82%;86%;79%;77.25%;78.27%;77.63%;81.24%;77.16%;79.8%;79.3%;85.6%;91.01%;93.06%;88.43%;86.81%
3302-15600-TECNOLOGIA EN GESTION ADMINISTRATIVA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80%;67.47%;84.54%;71.86%;75.32%;68.05%;66.34%;66.95%;63.35%;66.93%;73.06%;79.58%;74.32%;75%;79.11%;86.06%;83.42%;88.71%;81.35%;85.66%;84.98%;86.84%;84.76%;87.57%;86.26%;86.3%;84.2%;84.66%;83.78%;84.18%;84.92%;84.24%;85.99%;92.83%;88.9%;86.56%;87.77%
3302-17719-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25%;69.23%;56.52%;66.2%;68.48%;73.81%;67.59%;64.53%;67.61%;61.93%;74.79%;79.27%;85%;75%;80.95%;91.67%;88.89%;62.5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-17720-TECNOLOGIA EN INFORMATICA MUSICAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;74.19%;75%;66.67%;77.69%;67.86%;57.14%;46.62%;46.15%;62.63%;76.85%;83.78%;75.54%;73.24%;76.28%;78.7%;72.32%;82.68%;78.53%;75.71%;77.26%;79.24%;78.72%;81.69%;78.68%;82.11%;82.89%;75.8%;77.51%;72.22%;74.67%;79.31%;74.43%;89.24%;83.52%;81.51%;80.59%
3302-52129-INGENIERIA ELECTRÓNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;90.91%;73.33%;75%;75%;92.86%;90.91%;74.19%;80.52%;87.78%;83.33%;91.6%;94.12%;88.74%;94.56%;89.3%;86.73%;89.86%;87.39%;87.23%;86.4%;82.95%;88.08%;83.9%;89.95%;88.18%;85.43%;83.94%;94.57%;97.13%;91.96%;92.96%
3302-52130-INGENIERIA ELECTROMECÁNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80.95%;80.77%;72.22%;90.48%;82.28%;86%;82.41%;78.29%;84.02%;87.5%;92.12%;92.73%;92.9%;91.5%;93.65%;91.71%;85.98%;88.84%;87.41%;87.2%;88.86%;87.19%;93.32%;89.41%;88.49%;84.59%;89.79%;93.85%;95.61%;91.07%;94.15%
3302-52131-INGENIERIA DE PRODUCCI¿N;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;76.92%;72.73%;82.5%;75.61%;90%;86.88%;88.33%;85.54%;87.25%;88.25%;90.13%;89.76%;94.22%;95.73%;94.37%;96.23%;95.56%;95.1%;93.28%;89.48%;93.02%;93.98%;94.34%;93.25%;92.31%;94.11%;92.76%;97.68%;97.37%;96.67%;96.41%
3302-52204-INGENIERIA FINANCIERA Y DE NEGOCIOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;75%;77.27%;78.69%;90.48%;88.64%;81.13%;77.58%;85.96%;94.22%;96.82%;97.84%;96.99%;96.95%;96.31%;97.7%;97.29%;96.3%;93.14%;91.11%;89.66%;93.14%;93.47%;92.11%;93.82%;90.87%;94.2%;96.75%;96.57%;97.14%;93.46%
3302-52205-INGENIERIA DE SISTEMAS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;82.5%;76.6%;75.31%;87.88%;88.28%;81.76%;78.19%;80.08%;88.73%;90.88%;97.12%;93.3%;95.08%;92.86%;89.4%;85.37%;90.28%;84.47%;89.84%;88.46%;91.83%;94.51%;94.09%;92.68%;91.97%;92.84%;94.01%;95.11%;93.1%;94.23%
3302-52272-INGENIERIA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;68.75%;63.16%;78.57%;95.12%;89.8%;87.88%;91.84%;94.62%;88.67%;89.02%;95.81%;90.17%;87.3%;91.15%;93.88%;87.44%;93.08%;96.46%;88.61%;93.75%;82.61%;80%;77.78%;50%;0%;0%;0%;0%;0%;0%
3302-52299-INGENIERÍA DE TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;85.71%;79.1%;80%;83.21%;87.5%;79.49%;75.23%;72.35%;86.63%;92.58%;92.73%;88.41%;95.36%;90.86%;88.5%;83.23%;88.4%;88.96%;85.29%;89.58%;86.59%;89.64%;87.5%;89.25%;87.66%;91.1%;96.01%;96.11%;96.43%;95.58%
3302-53340-INGENIERÍA BIOMÉDICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;65.79%;74.76%;83%;76.02%;83.96%;81.1%;84.49%;82.74%;84.41%;82.79%;85.76%;86.92%;86.56%;88.36%;89.66%;87.15%;85.54%;87.48%;88.12%;88.88%;87.79%;88.52%;90.5%;89.47%;95.3%;94.07%;90.71%;92.46%
3302-53799-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE RETENCIÓN;0%;0%;83.33%;85%;82.76%;84.69%;83.82%;80.59%;88.82%;84.62%;81.53%;81.01%;77.63%;75%;78.72%;88.16%;81.72%;66.67%;60.22%;1.96%;33.33%;66.67%;60%;35.29%;40%;50%;37.5%;0%;75%;77.78%;58.33%;50%;95%;87.5%;78.7%;82.64%;87.46%;83.15%;82.04%;82.86%;83.2%;82.49%;77.99%;85.11%;81.25%;82.42%;90.15%;80.78%;84.84%;81.49%
3302-53800-TECNOLOGIA EN CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;75.68%;77.94%;84.83%;87.13%;86.05%;89.74%;89.79%;88.69%;89.12%;89.36%;87.59%;82.84%;72.33%;2.27%;72.73%;50%;75%;57.14%;77.78%;53.85%;71.43%;20%;50%;25%;70%;46.15%;85.71%;72.22%;71.27%;84.77%;84.49%;81.46%;81.75%;80.54%;80.45%;80.81%;75.98%;75.29%;80.07%;77.34%;93.12%;92.07%;94.05%;92.93%
3302-53801-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;77.04%;72.02%;87.69%;84.96%;88.53%;86.53%;87.65%;86.9%;81.24%;83.23%;75.3%;78.14%;64.37%;4.25%;40%;52.94%;60%;82.61%;57.14%;70.69%;53.19%;37.7%;44.12%;57.58%;73.53%;52.94%;80%;81.19%;84.37%;77.91%;83.96%;79.31%;78.32%;77.97%;80.01%;81.52%;79.06%;82.08%;80.78%;84.65%;92.78%;87.83%;88.54%;89.42%
3302-53802-TECNOLOGIA EN PRODUCCIÓN;TASA DE RETENCIÓN;0%;0%;0%;79.41%;69.23%;78.7%;79.58%;81.76%;85.71%;85.21%;77.03%;85.48%;88.44%;89.07%;88.49%;88.24%;87.3%;83.7%;72.56%;2.22%;55.56%;61.11%;58.54%;51.61%;65.63%;70.83%;54.17%;46.15%;75%;75%;85%;63.64%;76.32%;82.22%;78.84%;82.47%;84.18%;86.37%;82.04%;81.96%;83.62%;82.71%;82%;82.62%;86.11%;88.14%;94.86%;95.51%;95.54%;91.99%
3302-53803-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;89.17%;84.45%;83.75%;86.92%;84.53%;87.17%;86.14%;84.32%;85.75%;87.16%;85.45%;91.39%;92.94%;84.47%;83.04%;82.32%;71.57%;1.61%;45.83%;57.69%;58.14%;66.67%;58.49%;60.53%;55.26%;43.75%;62.5%;39.39%;70.83%;50%;81.69%;87.95%;83.6%;79.48%;82.54%;83.83%;83.66%;83.5%;83.84%;82.14%;78.55%;82.24%;80.49%;82.27%;92.01%;87.74%;85.83%;84.59%
3302-53806-TECNOLOGÍA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;69.44%;84.75%;87.63%;83.33%;83.87%;82.55%;78.48%;82.06%;81.6%;81.97%;89.72%;84.89%;81.28%;82.33%;73.68%;68.51%;65.02%;3.21%;52.17%;64.71%;54.55%;58.97%;52.17%;60.61%;58.06%;40%;76.92%;46.67%;65.22%;73.08%;78%;78.69%;83.24%;84.31%;86.59%;86.35%;82.69%;80.53%;80.71%;84.24%;79.04%;79.43%;77.41%;77.55%;85.37%;83.49%;80.19%;84.81%
3302-55072-ADMINISTRACI¿N TECN¿LOGICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;66.51%;70.38%;83.6%;79.39%;84.18%;83.06%;86.3%;89.06%;88.76%;89.87%;89.32%;88.55%;88.62%;88.49%;90.53%;90.2%;90.37%;87.83%;89.12%;90.13%;95.68%;94.48%;93.75%;92.89%
3302-55105-FÍSICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;54.55%;61.54%;85.71%;92%;63.41%;82.76%;91.67%;81.82%;77.78%;85.71%;91.67%;91.67%;100%;100%;90.91%;100%;100%;100%;100%;100%;75%;100%;100%;100%
3302-90355-ARTES VISUALES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.17%;76.58%;77.56%;81.35%;88.89%;86.94%;82.28%;86.64%;86.13%;90.63%;88.08%;90.16%;89.64%;86.26%;86.81%;88.34%;84.84%;89.03%;88.54%;93.23%;91.49%;90.2%;86.71%
3302-90442-INGENIERÍA MECATRÓNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;81.71%;78.76%;79.28%;83.23%;80.32%;80.36%;84.14%;83.13%;84.74%;85.82%;83.15%;84.82%;84.62%;84.63%;85.5%;85.28%;86.12%;84.9%;85.3%;91.52%;89.5%;88%;87.76%
3302-103928-INGENIERÍA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;100%;100%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;89.13%;87.26%;82.33%;82.11%;83.37%;88.13%;85.86%;90.69%;87.85%;88.32%;93.76%;90.97%;92.67%;90.27%
3302-104332-QUÍMICA INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;84%;84.29%;82.52%;79.35%;87.22%;84.75%;88.89%;85.23%;89.77%;92.44%;90.51%;89.36%;90.05%
3302-104682-ARTES DE LA GRABACION Y PRODUCCION MUSICAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;82.19%;82.47%;83.08%;85.96%;91.75%;91.7%;84.01%;89.21%;92.43%;93.68%;89.24%;89.5%
3302-105852-CONTADURÍA PÚBLICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;83.67%;84.07%;84.41%;85.22%;84.96%;86.83%;94.56%;93.52%;91.26%;91.88%
3302-106188-INGENIERÍA DE LA CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;89.83%;77.65%;88.54%;75.11%;80.56%;87.54%;88.61%;87.43%;84.05%
3302-106314-CINE;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.17%;88.51%;86.3%;88.46%;88.21%;95.15%;91.4%;91.67%;91.17%
3302-106810-TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;61.95%;63.81%;65.25%;76.68%;77.49%;78.04%;78.02%
3302-107004-TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;60.36%;76.77%;83.01%;79.93%;79.31%;76.09%;76.01%
3302-107381-TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;63.37%;62.43%;77.54%;69.06%;72.18%;75.17%
3302-107390-INGENIERIA FINANCIERA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;91.2%;91.03%;96.72%;96.33%;95.83%;95.57%
3302-107391-CIENCIAS AMBIENTALES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;78.33%;83.16%;92.25%;88.54%;85.71%;84.89%
3302-107534-TECNOLOGIA EN SISTEMAS DE PRODUCCI¿N;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;58.39%;61.03%;75.66%;76.85%;72.37%;78.33%
3302-107535-TECNOLOGIA EN DESARROLLO DE SOFTWARE;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;67.16%;69.92%;86.5%;83.76%;79.06%;84.72%
3302-107696-TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;61.62%;71.9%;72.49%;67.47%;80.46%
3302-107943-TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;40.91%;46.46%;47.66%;65.13%
3302-108394-TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;50%;31.11%;40.17%
3302-108639-TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;42.86%;21.62%;28.57%
3302-108789-TECNOLOGIA EN CONTROL DE LA CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;72.18%;67.47%;67.78%;82.82%
3302-109927-INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;60%
